segment,is_non_e_and_p,category,confidence,rationale
OIL AND GAS DEVELOPMENT,False,Unknown,1.0,Explicit E&P activity (development) mentioned.
WOOD PRODUCTS,True,Mining/Other,1.0,Wood products are unrelated to E&P.
Mining Exploration and Development,True,Mining/Other,1.0,Mining exploration and development is non-E&P.
Oil and Gas Development,False,Unknown,1.0,Explicit E&P activity (development) mentioned.
Wood Products,True,Mining/Other,1.0,Wood products unrelated to E&P.
Oil & Gas Development,False,Unknown,1.0,Explicit E&P activity (development) mentioned.
Natural Gas Properties,False,Unknown,0.9,Properties related to natural gas likely E&P assets.
ONSHORE OPERATIONS,False,Unknown,0.8,Vague but likely includes E&P given onshore operations context.
OFFSHORE OPERATIONS,False,Unknown,0.8,Vague but likely includes E&P given offshore operations context.
OFFSHORE OIL & GAS,False,Unknown,1.0,Contains E&P cues only.
OIL AND GAS - ONSHORE,False,Unknown,1.0,Contains E&P cues only.
ON & OFFSHORE OIL & GAS EXPL,False,Unknown,1.0,Explicit E&P activity (exploration) mentioned.
Deepwater Operations,False,Unknown,0.9,Likely E&P offshore deepwater operations; no non-E&P terms.
Deepwater FPS/Pipelines,True,Midstream,0.95,FPS (Floating Production System) and pipelines indicate midstream/logistics.
Onshore,False,Unknown,0.7,"Vague geographic term, likely E&P but not certain."
International,False,Unknown,0.7,"Vague geographic term, no clear non-E&P indication."
Deepwater operations,False,Unknown,0.9,Likely E&P offshore deepwater operations; no non-E&P terms.
Onshore/Shelf,False,Unknown,0.8,Vague but likely E&P given onshore/shelf context.
Refining and Transportation,True,Downstream,1.0,Refining and transportation are downstream activities.
REFINING & TRANSPORTATION,True,Downstream,1.0,Refining and transportation are downstream activities.
Oil Exploration,False,Unknown,1.0,Explicit E&P activity (exploration) mentioned.
E&P,False,Unknown,1.0,Explicitly upstream exploration and production.
Well Servicing and Abandonment,True,Oilfield Services,1.0,"Well servicing and abandonment are oilfield services, non-E&P."
Corporate/Eliminations,True,Corporate/Other,1.0,"Corporate and eliminations are non-operating, non-E&P."
Development & Production,False,Unknown,1.0,Explicit E&P activities mentioned.
Oil & Natural Gas Resources,False,Unknown,0.9,Likely E&P related given resources context.
OIL AND GAS-ONSHORE,False,Unknown,1.0,Contains E&P cues only.
GOLD MINING,True,Mining/Other,1.0,Gold mining is non-E&P mining activity.
GOLD & SILVER MINING,True,Mining/Other,1.0,Gold and silver mining is non-E&P mining activity.
GOLD &SILVER MINING-OIL &GAS,True,Mining/Other,0.85,Mixed mining and oil & gas; presence of mining makes it non-E&P.
OIL & GAS EXPLORATION - PROD,False,Unknown,1.0,Explicit E&P activities mentioned.
REFINERY,True,Downstream,1.0,Refinery is a downstream activity.
RACE HORSE BREEDING&TRAINING,True,Corporate/Other,1.0,"Unrelated to oil & gas, non-E&P corporate activity."
Marcellus Shale,False,Unknown,1.0,"Named shale basin, likely E&P related."
Williston Basin,False,Unknown,1.0,"Named basin, likely E&P related."
Barnett Shale,False,Unknown,1.0,"Named shale basin, likely E&P related."
Piceance Basin,False,Unknown,1.0,"Named basin, likely E&P related."
Piceance/DJ Basins,False,Unknown,1.0,"Named basins, likely E&P related."
Utica Shale,False,Unknown,1.0,"Named shale basin, likely E&P related."
Ohio Gathering,True,Midstream,1.0,"Gathering refers to midstream pipeline activities, not upstream E&P."
DJ Basin,False,Unknown,1.0,Basin name indicates an upstream E&P area with no non-E&P terms.
Permian Basin,False,Unknown,1.0,Permian Basin is a well-known upstream E&P region.
Piceance Basin (PB),False,Unknown,1.0,Basin name indicates upstream E&P activity.
Barnett,False,Unknown,1.0,Barnett is a known upstream shale gas play with no non-E&P terms.
Permian,False,Unknown,1.0,Permian is a major upstream oil and gas producing region.
Piceance,False,Unknown,1.0,Piceance is an upstream basin name without non-E&P terms.
Northeast,False,Unknown,0.9,"Geographic region only, ambiguous so default to false."
Rockies,False,Unknown,0.9,"Geographic region only, ambiguous so default to false."
Mid-Con,False,Unknown,0.9,"Mid-Continent region, ambiguous and likely upstream E&P."
HYDRO ELECTRIC POWER GENER,True,Utilities/Power,1.0,"Hydroelectric power generation is a utilities activity, not E&P."
GAS UTILITIES,True,Utilities/Power,1.0,"Gas utilities refers to distribution and retail, not upstream E&P."
MINERAL RESOURCES,True,Mining/Other,1.0,Mineral resources implies mining other than oil & gas.
LPG MARKETING & TRANSMISSION,True,Midstream,1.0,Marketing and transmission of LPG is midstream and downstream activity.
PROPANE MARKETING,True,Trading/Marketing,1.0,"Marketing propane is downstream/trading activity, not E&P."
MINERALS & OTHER,True,Mining/Other,1.0,Minerals and other indicates non-E&P mining or other activities.
CORPORATE & INTERSEGMENT,True,Corporate/Other,1.0,Corporate and intersegment eliminations are non-operating activities.
SILVER MINING,True,Mining/Other,1.0,Silver mining is a non-oil & gas mining activity.
GAS PLANTS,True,Midstream,1.0,"Gas plants are midstream processing facilities, not upstream E&P."
GAS PLANTS & GAS GATHERING,True,Midstream,1.0,Gas plants and gathering are midstream activities.
OIL & GAS-ACQUISTION&DEVELOP,False,Unknown,1.0,Acquisition and development are upstream E&P activities.
Oil & Gas-United States,False,Unknown,1.0,"Upstream oil & gas segment by geography, no non-E&P terms."
Oil & Gas-Ecuador,False,Unknown,1.0,"Upstream oil & gas segment by geography, no non-E&P terms."
Gas Plants,True,Midstream,1.0,Gas plants are midstream processing facilities.
OIL & GAS CONSULTING,True,Oilfield Services,1.0,"Consulting is a service activity, not upstream E&P operations."
METALLURGICAL RESEARCH,True,Mining/Other,1.0,Metallurgical research is unrelated to upstream E&P.
GEOLOCATION SYSTEM,True,Oilfield Services,1.0,"Geolocation systems are service/technology support, not E&P."
CONTRACT DRILLING & SERVICES,True,Oilfield Services,1.0,"Contract drilling is an oilfield service, not upstream E&P."
OILFIELD SVCS & PROGRAM MGMT,True,Oilfield Services,1.0,Oilfield services and program management are service activities.
ICE-SKATE SHARPENERS,True,Mining/Other,1.0,Ice-skate sharpeners are unrelated to oil & gas E&P.
FISH LEATHER TANNING,True,Mining/Other,1.0,Fish leather tanning is unrelated to oil & gas E&P.
Skate Sharpeners,True,Mining/Other,1.0,Skate sharpeners are unrelated to oil & gas E&P.
Leather Tanning,True,Mining/Other,1.0,Leather tanning is unrelated to oil & gas E&P.
Ice-Skate Sharpeners,True,Mining/Other,1.0,Ice-skate sharpeners are unrelated to oil & gas E&P.
Skate Sharpeners-Others,True,Mining/Other,1.0,Skate sharpeners and others unrelated to oil & gas E&P.
Skate Sharpeners and Others,True,Mining/Other,1.0,Skate sharpeners and others unrelated to oil & gas E&P.
Exploration Oil & Gas,False,Unknown,1.0,Exploration is a core upstream E&P activity.
OIL SANDS,False,Unknown,1.0,Oil sands generally refers to upstream oil extraction activities.
OIL & GAS - NORTH AMERICA,False,Unknown,1.0,"Upstream oil & gas segment by geography, no non-E&P terms."
SYNTHETIC OIL & GAS - CANADA,False,Unknown,0.9,Synthetic oil & gas likely refers to upstream production activities.
OIL & GAS - INDONESIA,False,Unknown,1.0,"Upstream oil & gas segment by geography, no non-E&P terms."
OIL & GAS - OTHER INTERNATL,False,Unknown,1.0,"Upstream oil & gas segment by geography, no non-E&P terms."
OTHER - NORTH AMERICA,False,Unknown,0.8,"Vague geographic label, ambiguous so default to false."
Syncrude-North America,True,Mining/Other,0.9,"Syncrude is a synthetic crude oil producer, often classified as mining/upgrading, not upstream E&P."
Oil and Gas Indonesia,False,Unknown,1.0,"Upstream oil & gas segment by geography, no non-E&P terms."
Oil and Gas Other International,False,Unknown,1.0,"Upstream oil & gas segment by geography, no non-E&P terms."
Oil and Gas North America,False,Unknown,1.0,"Upstream oil & gas segment by geography, no non-E&P terms."
Other North America,False,Unknown,0.8,"Vague geographic label, ambiguous so default to false."
Syncrude,True,Mining/Other,0.9,"Syncrude is synthetic crude oil production, considered mining/upgrading rather than upstream E&P."
Petrovera-North America,False,Unknown,0.8,No clear non-E&P terms; likely upstream oil & gas segment.
Oil & Gas Netherlands,False,Unknown,1.0,"Upstream oil & gas segment by geography, no non-E&P terms."
OIL SHALE-ASPHALT TECHNOLOGY,True,Mining/Other,0.9,Technology related to oil shale and asphalt is not upstream E&P but more mining/processing.
PROPANE DISTRIBUTION,True,Midstream,1.0,Distribution of propane is a midstream/downstream activity.
OIL & GAS EXPLORATION & PDN,False,Unknown,1.0,Exploration and production are core upstream E&P activities.
NATURAL GAS TRANSPORTATION,True,Midstream,1.0,Transportation of natural gas is a midstream activity.
ENERGY MARKETING & SERVICES,True,Trading/Marketing,1.0,Marketing and services indicate downstream/trading activities.
NAT GAS TRANS & MARKETING,True,Midstream,1.0,Natural gas transportation and marketing are midstream/downstream activities.
CATTLE,True,Mining/Other,1.0,Cattle is unrelated to oil & gas E&P.
BEEF PRODUCTS,True,Mining/Other,1.0,Beef products are unrelated to oil & gas E&P.
RECREATIONAL MARINE PRODUCTS,True,Mining/Other,1.0,Recreational marine products are unrelated to oil & gas E&P.
Meat Products,True,Mining/Other,1.0,Meat products are unrelated to oil & gas E&P.
Beef Products,True,Mining/Other,1.0,Beef products are unrelated to oil & gas E&P.
Food Products,True,Mining/Other,1.0,Food products are unrelated to oil & gas E&P.
Oil and Gas Production and Exploration,False,Unknown,1.0,"Explicitly states production and exploration, core upstream E&P activities."
Enlink,False,Unknown,0.7,"Company name only, ambiguous so default to false."
United States,False,Unknown,0.7,"Geographic label only, ambiguous so default to false."
Oil & Gas Exploration&Prodn.,False,Unknown,1.0,"Explicitly exploration and production, core upstream E&P."
Oil & gas production,False,Unknown,1.0,"Explicitly production, core upstream E&P activity."
Oil & Natural Gas - North America,False,Unknown,1.0,"Upstream oil and gas segment by geography, no non-E&P terms."
Oil & Natural Gas - North Sea,False,Unknown,1.0,"Upstream oil and gas segment by geography, no non-E&P terms."
Oil & Natural Gas - Offshore West Africa,False,Unknown,1.0,"Upstream oil and gas segment by geography, no non-E&P terms."
Head Office and Other,True,Corporate/Other,1.0,Head office and other non-operating activities are not upstream E&P.
Horizon Project,False,Unknown,0.7,"Project name only, ambiguous so default to false."
Head Office,True,Corporate/Other,1.0,Head office is a non-operating corporate function.
Oil Sands Mining and Upgrading,True,Mining/Other,0.9,"Mining and upgrading oil sands is considered mining/processing, not upstream E&P."
Exploration & Prod. - N A,False,Unknown,1.0,"Explicitly exploration and production, core upstream E&P activities."
Exploration & Prod. - N S,False,Unknown,1.0,"Explicitly exploration and production, core upstream E&P activities."
Exploration & Prod. - O A,False,Unknown,1.0,"Explicitly exploration and production, core upstream E&P activities."
Oil Sands Mining & Upgrading,True,Mining/Other,0.9,"Mining and upgrading oil sands is mining/processing, not upstream E&P."
Explor&Prod.-North America,False,Unknown,1.0,"Explicitly exploration and production, core upstream E&P activities."
Explor&Prod.-North Sea,False,Unknown,1.0,Contains clear E&P cues (Exploration & Production) and geographic reference; clearly upstream E&P.
Explor&Prod.-Offshore Africa,False,Unknown,1.0,Contains clear E&P cues (Exploration & Production) and offshore location; clearly upstream E&P.
Oil & Gas-Expl. and Dev.,False,Unknown,1.0,Explicitly exploration and development of oil & gas; upstream E&P.
Dev. and Prod. of Oil & Gas,False,Unknown,1.0,Explicitly development and production of oil & gas; upstream E&P.
COAL & MINERALS,True,Mining/Other,1.0,Clearly denotes mining activities unrelated to oil & gas E&P.
MINERAL ACTIVITIES,True,Mining/Other,0.9,Generic mineral activities likely mining unrelated to oil & gas E&P.
CORPORATE-SPORTS ACTIVITIES,True,Corporate/Other,1.0,"Corporate activities unrelated to E&P, specifically sports."
SPORTS CAREERS,True,Corporate/Other,1.0,"Clearly non-E&P, related to sports careers."
VEHICLE RENTAL,True,Corporate/Other,1.0,Vehicle rental is a non-E&P service activity.
Real Estate-Liqudating,True,Real Estate,1.0,"Real estate related activity, clearly non-E&P."
Natural Resource & Real Estate,True,Real Estate,0.8,Includes real estate and natural resources but no E&P cues; likely non-E&P.
Oil & gas,False,Unknown,0.9,Generic oil & gas label with no non-E&P indication; default to E&P.
Pipeline,True,Midstream,1.0,"Pipeline is a midstream activity, clearly non-E&P."
Oil and Gas exploration,False,Unknown,1.0,Explicit exploration activity; upstream E&P.
OIl and gas exploration,False,Unknown,1.0,Explicit exploration activity; upstream E&P.
Oil and Gas Exploration and Development,False,Unknown,1.0,Explicit exploration and development; upstream E&P.
Oil & Gas-On Shore,False,Unknown,1.0,Onshore oil & gas activity implies upstream E&P.
Hydrocarbons,False,Unknown,0.7,Generic hydrocarbons label with no non-E&P indication; default to E&P.
GAS & OIL-ON & OFFSHORE,False,Unknown,1.0,Onshore and offshore oil & gas implies upstream E&P.
OIL & GAS EXPLORATN-ONSHORE,False,Unknown,1.0,Explicit exploration onshore; upstream E&P.
TIME MANAGEMENT SYSTEMS,True,Corporate/Other,1.0,"Time management systems is a corporate support function, non-E&P."
INVEST BANK &BROKER-OIL &GAS,True,Corporate/Other,1.0,"Investment banking and brokerage are financial services, non-E&P."
INVESTMENT BROKERAGE,True,Corporate/Other,1.0,"Investment brokerage is a financial service, non-E&P."
OIL & GAS PROPERTIES,False,Unknown,0.7,Properties related to oil & gas could be upstream assets; ambiguous but defaults to E&P.
Oil & Gas - On and Offshore,False,Unknown,1.0,On and offshore oil & gas implies upstream E&P.
Oil & Gas - On & Offshore,False,Unknown,1.0,On and offshore oil & gas implies upstream E&P.
TRADING & TRANSPORTATION,True,Trading/Marketing,1.0,Trading and transportation are non-E&P midstream/trading activities.
Oil and Gas Producing,False,Unknown,1.0,Producing oil and gas is upstream E&P.
Oil & Natural Gas Properties,False,Unknown,0.7,Properties related to oil & gas likely upstream assets; ambiguous but defaults to E&P.
CCS,True,Renewables,1.0,Carbon Capture and Storage is a non-E&P environmental technology.
Unallocated Corporate,True,Corporate/Other,1.0,"Corporate unallocated segment is non-operating, non-E&P."
OIL SHALE MINING,True,Mining/Other,1.0,"Mining oil shale is a mining activity, not upstream E&P."
Oil Shale Mining,True,Mining/Other,1.0,"Mining oil shale is a mining activity, not upstream E&P."
Oil & Natural Gas,False,Unknown,0.9,Generic oil & natural gas label with no non-E&P indication; default to E&P.
Gathering and Compression,True,Midstream,1.0,"Gathering and compression are midstream activities, non-E&P."
Water Handling and Treatment,True,Midstream,0.9,"Water handling and treatment is a support/midstream activity, non-E&P."
Fresh Water Distribution,True,Utilities/Power,1.0,"Fresh water distribution is a utility activity, non-E&P."
Gathering and Processing,True,Midstream,1.0,"Gathering and processing are midstream activities, non-E&P."
Oil & Gas On-shore and Off-shore,False,Unknown,1.0,Onshore and offshore oil & gas implies upstream E&P.
VENTURE CAPITAL COMPANY,True,Corporate/Other,1.0,"Venture capital is a financial activity, non-E&P."
NATURAL GAS & OIL PRODUCTION,False,Unknown,1.0,Production of natural gas and oil is upstream E&P.
Production of Hydrocarbons,False,Unknown,1.0,Production of hydrocarbons is upstream E&P.
Oil and Gas - On and Offshore,False,Unknown,1.0,On and offshore oil & gas implies upstream E&P.
Natural Gas & Oil Properties,False,Unknown,0.7,Properties related to natural gas and oil likely upstream assets; ambiguous but defaults to E&P.
Rice Midstream Holdings,True,Midstream,1.0,Midstream holdings clearly indicate non-E&P midstream activity.
Rice Midstream Partners,True,Midstream,1.0,Midstream partners clearly indicate non-E&P midstream activity.
COMPUTER SUPPLIES & SERVICES,True,Corporate/Other,1.0,"Computer supplies and services are corporate support, non-E&P."
NATURAL GAS PROCESSING PLANT,True,Midstream,1.0,"Natural gas processing is a midstream activity, non-E&P."
OIL & GAS - MINERAL PROPERTY,False,Unknown,0.7,Mineral property related to oil & gas is ambiguous but likely upstream E&P assets.
Gathering & Compression Serv,True,Midstream,1.0,"Gathering and compression services are midstream, non-E&P."
Services,False,Unknown,0.5,Vague segment name; defaults to E&P.
MRD,False,Unknown,0.5,Acronym with no clear meaning; defaults to E&P.
MEMP,False,Unknown,0.5,Acronym with no clear meaning; defaults to E&P.
Adjustments & Eliminations,True,Corporate/Other,1.0,"Adjustments and eliminations are corporate accounting entries, non-E&P."
Investment,True,Corporate/Other,1.0,"Investment is a financial activity, non-E&P."
Oil & Gas - Exp. & Prod.,False,Unknown,1.0,Explicit exploration and production; upstream E&P.
EXPLORATION & DEVELOPMENT,False,Unknown,1.0,Explicit exploration and development; upstream E&P.
PROCESS & MANAGEMENT FEES,True,Corporate/Other,1.0,"Process and management fees are corporate or service fees, non-E&P."
TELEPHONE INTERCONNECT SYS,True,Corporate/Other,1.0,"Telephone interconnect systems are corporate infrastructure, non-E&P."
No operation,False,Unknown,0.5,Vague segment name; defaults to E&P.
Oil & natural gas exploration,False,Unknown,1.0,Explicit exploration; upstream E&P.
Pipeline Transmission Fees,True,Midstream,1.0,"Pipeline transmission fees are midstream activities, non-E&P."
Pipeline Development,True,Midstream,1.0,"Pipeline development is midstream, non-E&P."
Natural Gas Pipelines,True,Midstream,1.0,"Natural gas pipelines are midstream, non-E&P."
AERO Services,True,Corporate/Other,0.9,Aero services are non-E&P support services.
Oil & Natural Gas Production,False,Unknown,1.0,Production of oil and natural gas is upstream E&P.
OIL & GAS-ON & OFF SHORE,False,Unknown,1.0,On and offshore oil & gas implies upstream E&P.
Carbon Management,True,Renewables,1.0,"Carbon management is an environmental activity, non-E&P."
Reconcillation,True,Corporate/Other,1.0,"Reconciliation is a corporate accounting activity, non-E&P."
O & G EQUIPMENT LEASING,True,Oilfield Services,1.0,"Equipment leasing is an oilfield services activity, non-E&P."
EQUIPMENT LEASE,True,Oilfield Services,1.0,"Equipment leasing is an oilfield services activity, non-E&P."
RESOURCE PROPERTY,False,Unknown,0.5,Vague term; could be upstream assets; defaults to E&P.
NATURAL GAS-PROD & PROC,False,Unknown,0.7,Production and processing mixed; ambiguous but defaults to E&P.
OIL & GAS PROCESSING,True,Midstream,1.0,"Processing is a midstream activity, non-E&P."
CONSTRUCTION,True,Corporate/Other,1.0,"Construction is a service activity, non-E&P."
REREFINING,True,Downstream,1.0,"Rerefining is a downstream refining activity, non-E&P."
USED OIL REFINING,True,Downstream,1.0,"Used oil refining is a downstream activity, non-E&P."
Oil and gas,False,Unknown,0.9,Generic oil and gas label with no non-E&P indication; defaults to E&P.
Used oil refining,True,Downstream,1.0,"Used oil refining is a downstream activity, non-E&P."
Used Oil,True,Downstream,0.9,"Used oil likely relates to downstream or recycling activities, non-E&P."
Processing and Storage,True,Midstream,0.95,Processing and storage are midstream activities related to handling hydrocarbons after production.
Terminaling and Export,True,Midstream,0.95,"Terminaling and export relate to midstream logistics and transportation, not E&P."
Interest and Other,True,Corporate/Other,0.9,"Generic non-operating or corporate segment, clearly not E&P."
OIL AND GAS EXPLORATION,False,Unknown,1.0,"Explicitly exploration, which is upstream E&P activity."
Precious Metals,True,Mining/Other,1.0,Precious metals mining is unrelated to oil and gas E&P.
Rig & Refurbishing Operations,True,Oilfield Services,0.95,"Rig refurbishing is an oilfield service activity, not E&P."
Non-Segmented,False,Unknown,0.5,"Vague segment name, cannot determine non-E&P status."
Rig Operations,True,Oilfield Services,0.95,"Rig operations are oilfield services, not E&P."
Rig,True,Oilfield Services,0.95,"A rig is an oilfield service asset, not E&P itself."
Drilling & Development,False,Unknown,1.0,Drilling and development are core upstream E&P activities.
No Operations,True,Corporate/Other,0.9,No operations implies non-operating or corporate segment.
Water Services,True,Oilfield Services,0.9,Water services typically support oilfield operations but are non-E&P.
GAS PLANT & PIPELINES,True,Midstream,1.0,"Gas plants and pipelines are midstream infrastructure, not E&P."
DOMESTIC O&G - ON & OFFSHORE,False,Unknown,0.8,"Geographic label with E&P implication, default to false."
FOREIGN O&G - ON & OFFSHORE,False,Unknown,0.8,"Geographic label with E&P implication, default to false."
OIL & GAS - EAST,False,Unknown,0.7,"Geographic label, ambiguous so default false."
OIL & GAS - WEST,False,Unknown,0.7,"Geographic label, ambiguous so default false."
GAS PLANT-PIPELINE AND OTHER,True,Midstream,0.95,Gas plant and pipeline are midstream activities.
Oil & Gas-Foreign,False,Unknown,0.8,"Geographic label with E&P implication, default false."
Gas Plant & Other Facilities,True,Midstream,0.95,"Gas plants and facilities are midstream, not E&P."
Oil & Gas-Domestic,False,Unknown,0.8,"Geographic label with E&P implication, default false."
OIL AND GAS,False,Unknown,0.8,"Generic oil and gas segment likely includes E&P, default false."
Sumerged Timber Extraction,True,Mining/Other,1.0,Timber extraction is unrelated to oil and gas E&P.
Oil And Gas-Onshore,False,Unknown,1.0,Onshore oil and gas implies upstream E&P activity.
O&G EXPLORATION & PRODUCTION,False,Unknown,1.0,"Explicitly exploration and production, core E&P."
OIL & GAS GATHERING SYSTEMS,True,Midstream,0.95,"Gathering systems are midstream infrastructure, not E&P."
GATHERING,True,Midstream,0.95,Gathering is a midstream activity.
US-EXPLORATION & PRODUCTION,False,Unknown,1.0,"Explicitly exploration and production, upstream E&P."
ARGENTINA- EXPL-PRODTN,False,Unknown,1.0,"Explicit exploration and production, upstream E&P."
OTHER-FOREIGN-EXPL-PRODTN,False,Unknown,1.0,"Explicit exploration and production, upstream E&P."
Gathering/Plant,True,Midstream,0.95,Gathering and plant are midstream activities.
Argentina Exploration and Production,False,Unknown,1.0,"Explicit exploration and production, upstream E&P."
Bolivia Exploration and Production,False,Unknown,1.0,"Explicit exploration and production, upstream E&P."
Ecuador Exploration and Production,False,Unknown,1.0,"Explicit exploration and production, upstream E&P."
Other Foreign Exploration and Production,False,Unknown,1.0,"Explicit exploration and production, upstream E&P."
Canada Exploration and Production,False,Unknown,1.0,"Explicit exploration and production, upstream E&P."
Yemen Exploration and Production,False,Unknown,1.0,"Explicit exploration and production, upstream E&P."
OIL & GAS MARKETING-GATHERNG,False,Unknown,0.9,"Mixes marketing (non-E&P) and gathering (midstream), ambiguous so default false."
TURNKEY DRILLING,True,Oilfield Services,0.95,"Turnkey drilling is an oilfield service, not E&P."
OIL&GAS MARKETING & TRANSPRT,True,Trading/Marketing,0.95,"Marketing and transport are downstream/midstream activities, not E&P."
Oil and Natural Gas Mineral,False,Unknown,0.8,Mineral ownership implies upstream E&P activity.
ENVIRONMENTAL TECHNOLOGY,True,Corporate/Other,0.9,"Environmental technology is a support or corporate activity, not E&P."
OIL WELL SERVICES,True,Oilfield Services,0.95,"Oil well services are oilfield services, not E&P."
OIL FIELD SERVICES,True,Oilfield Services,1.0,Oil field services are non-E&P support activities.
Oil Field Services,True,Oilfield Services,1.0,Oil field services are non-E&P support activities.
Environmental Services,True,Corporate/Other,0.9,"Environmental services are support activities, not E&P."
ENVIRONMENTAL SERVICES,True,Corporate/Other,0.9,"Environmental services are support activities, not E&P."
"Gas Gathering, Marketing and Processing",False,Unknown,0.9,"Mixes gathering (midstream), marketing (non-E&P), and processing (midstream), ambiguous so default false."
OIL&GAS EXPLORATION&PRODUCTN,False,Unknown,1.0,"Explicit exploration and production, upstream E&P."
GAS MARKETING&PROCESSING,True,Trading/Marketing,0.95,"Marketing and processing are midstream/downstream activities, not E&P."
Elimination,True,Corporate/Other,1.0,"Elimination is a corporate accounting item, not E&P."
OIL & GAS SALES,True,Trading/Marketing,0.95,"Sales is a marketing/trading activity, not E&P."
Oil & Gas Exploitation and Production,False,Unknown,1.0,"Explicit exploitation and production, upstream E&P."
"Crude Oil, Natural Gas & NGL",False,Unknown,0.8,"Generic hydrocarbons segment likely includes E&P, default false."
Oil and Gas Productin and Processing,False,Unknown,0.9,"Mixes production (E&P) and processing (midstream), ambiguous so default false."
OIL&GAS PRODUCTN-PROCESSING,False,Unknown,0.9,"Mixes production (E&P) and processing (midstream), ambiguous so default false."
Oil and Gas Production and Processing,False,Unknown,0.9,"Mixes production (E&P) and processing (midstream), ambiguous so default false."
Oil & Gas - Expl. and Prod.,False,Unknown,1.0,"Explicit exploration and production, upstream E&P."
MARKETING & STORAGE,True,Trading/Marketing,0.95,"Marketing and storage are downstream/midstream activities, not E&P."
MINING & OTHER,True,Mining/Other,1.0,Mining unrelated to oil and gas is non-E&P.
Real Estate Rental,True,Real Estate,1.0,Real estate rental is unrelated to E&P.
PETROLEUM INDUSTRY SERVICES,True,Oilfield Services,0.95,"Industry services are oilfield services, not E&P."
PIPELINE CONSTRUCTION,True,Midstream,0.95,"Pipeline construction is midstream infrastructure activity, not E&P."
CANADIAN OIL & GAS OPS,False,Unknown,0.8,"Generic oil and gas operations segment, default false."
INTERNATIONAL OIL & GAS OPS,False,Unknown,0.8,"Generic oil and gas operations segment, default false."
Canadian Petroleum and Gas Operations,False,Unknown,0.8,"Generic oil and gas operations segment, default false."
International Petroleum and Natural Gas,False,Unknown,0.8,"Generic oil and gas operations segment, default false."
NEWSPAPER & RELATED PRINTING,True,Mining/Other,1.0,Newspaper and printing are unrelated to E&P.
PAY-PER-VIEW TV PROGRAMMING,True,Mining/Other,1.0,TV programming unrelated to E&P.
Oil & Gas-On and Offshore,False,Unknown,1.0,On and offshore oil and gas implies upstream E&P.
FRACTIONATION,True,Midstream,0.95,Fractionation is a midstream processing activity.
NAT GAS & ELECTRIC PWR MKTNG,True,Trading/Marketing,0.95,Natural gas and electric power marketing is non-E&P trading activity.
NGL - OIL - GAS TRANSMISSION,True,Midstream,0.95,"Transmission of NGL, oil, and gas is midstream activity."
COGENERATION,True,Utilities/Power,0.95,"Cogeneration is power generation, non-E&P."
DMT,False,Unknown,0.5,"Acronym with no clear meaning, default false."
Energy Convergence,False,Unknown,0.5,"Vague energy term, ambiguous so default false."
WHOLESALE GAS AND POWER,True,Trading/Marketing,0.95,"Wholesale gas and power is trading/marketing, not E&P."
LIQUIDS-GAS TRANSPORT-PROC,True,Midstream,0.95,Liquids and gas transport and processing are midstream activities.
WEN,False,Unknown,0.5,"Acronym with no clear meaning, default false."
DMS,False,Unknown,0.5,"Acronym with no clear meaning, default false."
T&D,True,Utilities/Power,0.95,"T&D commonly stands for Transmission and Distribution, a utilities activity distinct from upstream E&P."
DGC,False,Unknown,0.5,DGC is ambiguous without further context and does not clearly denote non-E&P activity.
Transmission and distribution,True,Utilities/Power,1.0,"Transmission and distribution is a utilities activity, not upstream E&P."
NGL,False,Unknown,0.6,NGL (Natural Gas Liquids) alone is ambiguous and can be part of upstream or midstream; no clear non-E&P indication.
GEN,True,Utilities/Power,0.9,"GEN likely refers to power generation, a utilities activity distinct from E&P."
REG,False,Unknown,0.5,REG is ambiguous without context and does not clearly indicate non-E&P activity.
CRM,False,Unknown,0.5,CRM is ambiguous and does not clearly denote non-E&P activity.
Other and Eliminations,True,Corporate/Other,1.0,Other and Eliminations typically refers to corporate adjustments or non-operating segments.
GEN-MW,True,Utilities/Power,0.9,"GEN-MW likely refers to power generation in the Midwest, a utilities segment."
GEN-NE,True,Utilities/Power,0.9,"GEN-NE likely refers to power generation in the Northeast, a utilities segment."
GEN-SO,True,Utilities/Power,0.9,"GEN-SO likely refers to power generation in the South, a utilities segment."
Other & Eliminations,True,Corporate/Other,1.0,Other & Eliminations typically refers to corporate or non-operating adjustments.
GEN-WE,True,Utilities/Power,0.9,"GEN-WE likely refers to power generation in the Western region, a utilities segment."
Coal,True,Mining/Other,1.0,Coal is a mining activity unrelated to oil & gas upstream E&P.
Gas,False,Unknown,0.5,Gas alone is ambiguous and can relate to upstream or midstream; no clear non-E&P indication.
Dynegy Northeast (DNE),True,Utilities/Power,0.9,Dynegy is known as a power generation company; segment likely utilities.
IPH,False,Unknown,0.5,IPH is ambiguous without context and does not clearly indicate non-E&P activity.
PJM,True,Utilities/Power,1.0,"PJM is a regional transmission organization for electricity, a utilities activity."
NY/NE,False,Unknown,0.5,"Geographic label only, ambiguous with no clear non-E&P indication."
MISO,True,Utilities/Power,1.0,"MISO is a regional transmission organization for electricity, a utilities activity."
CAISO,True,Utilities/Power,1.0,"CAISO is a California independent system operator for electricity, a utilities activity."
ERCOT,True,Utilities/Power,1.0,"ERCOT is the Electric Reliability Council of Texas, a utilities activity."
